title,titleUrl,subtitles/0/name,subtitles/0/url,time
Watched علاج ادمان الإنترنت !,https://www.youtube.com/watch?v=b9gV17Yy0g8,واعي,https://www.youtube.com/channel/UCubgpaK2N08IKa1biOQPL1Q,2023-01-03T14:00:32.024Z
Watched هكذا عالج محمد نفسه من مشكلة الادمان على الانترنت,https://www.youtube.com/watch?v=Qdl_9f8vHvo,كلام نواعم,https://www.youtube.com/channel/UCUnjZmdezvv8kP7vdqYBBTg,2023-01-03T13:59:35.965Z
Watched كيف تتخلص من ادمان الانترنت ؟,https://www.youtube.com/watch?v=EQXw1tn--wM,foregiveyaallah,https://www.youtube.com/channel/UCkaE3LQWa3bmrAJV2-AoEUg,2023-01-03T13:58:56.681Z
Watched علاج الإدمان في المنزل,https://www.youtube.com/watch?v=LNz0yNMXtpk,NPİSTANBUL Hastanesi,https://www.youtube.com/channel/UCOE9H-KPECE8q0sopb9L2bw,2023-01-03T13:58:33.393Z
Watched أهم فيديو في السنة: التخطيط الصح ✅ لأهداف السنة ونص السنة و ربع السنة.  📅,https://www.youtube.com/watch?v=XX2xjcNYiCI,دروس أونلاين,https://www.youtube.com/channel/UCEHvaZ336u7TIsUQ2c6SAeQ,2023-01-03T13:57:45.692Z
Watched i quit social media and nothing happened (except everything),https://www.youtube.com/watch?v=lEi058UQWLc,Sam Massey,https://www.youtube.com/channel/UCP8ZQAOm9_whNwwzqfXEfxg,2023-01-03T13:50:19.118Z
Watched معركة الاهتمام ضد اللا مبالاة - الجزء الاول,https://www.youtube.com/watch?v=yJFjFu1h128,دوباميكافين Dupamicaffeine,https://www.youtube.com/channel/UCJlu6BjPWHZhzuCc0zVME0Q,2023-01-03T10:59:50.379Z
Watched جربت أنظم حياتي لمدة سنة كاملة,https://www.youtube.com/watch?v=_fmbm4oeyjM,Ahmed Adel,https://www.youtube.com/channel/UCSzzw6CNp--2P_GI44kByWQ,2023-01-02T21:43:45.169Z
Watched تجربة حمود الخضر مع الاكتئاب,https://www.youtube.com/watch?v=5qVasyOgYmg,مقاطع بودكاست بدون ورق,https://www.youtube.com/channel/UCxHBGJc2HfCZbv2MgJ6F2Sw,2023-01-02T21:00:58.439Z
Watched الخطة لي غادي تخليك تغير حياتك 180 درجة هاد السنة الجديدة⚡️,https://www.youtube.com/watch?v=c80Kd8ctwkw,Brahimlogia - براهيملوجيا,https://www.youtube.com/channel/UC5Q8MrVWuyujVXtABTMTGTA,2023-01-02T20:59:04.219Z
Watched ليه السنة خلصت بسرعة؟,https://www.youtube.com/watch?v=nmZPGKhdCIM,دروس أونلاين,https://www.youtube.com/channel/UCEHvaZ336u7TIsUQ2c6SAeQ,2023-01-02T09:15:40.545Z
